episode,return,cost_per_order,loss
401,-230.316,230.316,-14.19
402,-291.363,291.363,6.0793
403,-368.418,368.418,-2.7797
404,-132.36,132.36,-4.7675
405,-119.959,119.959,7.6757
406,-136.428,136.428,15.5123
407,-289.141,289.141,-13.4681
408,-99.507,99.507,4.0912
409,-374.312,374.312,6.4225
410,-32.923,32.923,-1.9246
411,-462.337,462.337,0.9939
412,-20.936,20.936,-4.3787
413,-144.819,144.819,2.8843
414,-413.058,413.058,-12.9836
415,-240.288,240.288,2.8462
416,-263.983,263.983,-7.6593
417,-86.982,86.982,10.7147
418,-136.155,136.155,6.3011
419,-355.731,355.731,0.8175
420,-208.538,208.538,-0.2921
421,-265.71,265.71,9.5523
422,-223.984,223.984,-8.1263
423,-87.697,87.697,8.482
424,-153.956,153.956,-7.1396
425,-53.359,53.359,1.0196
426,-42.454,42.454,8.71
427,-188.961,188.961,-9.5658
428,-555.258,555.258,0.1034
429,46.164,-46.164,10.8989
430,-140.683,140.683,-4.2063
431,-178.094,178.094,7.5989
432,-123.203,123.203,-7.3577
433,-349.77,349.77,-2.1211
434,-153.57,153.57,4.4645
435,-203.136,203.136,-6.5192
436,-89.785,89.785,-4.6548
437,-275.944,275.944,-1.8432
438,95.911,-95.911,-8.4807
439,-98.709,98.709,3.5507
440,-310.837,310.837,0.0076
441,-47.813,47.813,0.576
442,-45.489,45.489,-5.3035
443,-72.685,72.685,2.5893
444,-286.792,286.792,-9.5179
445,-8.615,8.615,-8.0199
446,-33.61,33.61,3.7465
447,-356.956,356.956,6.4412
448,-423.734,423.734,4.4227
449,-127.198,127.198,-13.3209
450,-436.097,436.097,1.5729
451,-80.933,80.933,12.9732
452,-108.959,108.959,1.2015
453,-87.905,87.905,8.5601
454,-26.892,26.892,4.5228
455,-138.026,138.026,9.7636
456,-140.044,140.044,5.9777
457,-200.115,200.115,-3.9182
458,-170.945,170.945,-7.4523
459,-497.433,497.433,-3.8971
460,-180.158,180.158,0.4665
461,-182.594,182.594,-1.0473
462,-167.261,167.261,2.5535
463,-243.792,243.792,-9.9299
464,-72.479,72.479,-5.4418
465,-21.488,21.488,-11.6959
466,6.346,-6.346,-4.1761
467,-464.949,464.949,-27.334
468,-583.27,583.27,-6.2689
469,-73.192,73.192,-7.8458
470,-220.457,220.457,-2.5567
471,-521.947,521.947,-19.6349
472,-128.643,128.643,0.4585
473,-160.542,160.542,-6.5981
474,-425.401,425.401,-8.6719
475,-301.621,301.621,-8.8233
476,-456.768,456.768,-1.9674
477,-214.194,214.194,-31.7713
478,-43.845,43.845,-9.9191
479,-59.528,59.528,-7.5695
480,-160.333,160.333,9.2912
481,-354.482,354.482,-3.9747
482,-128.387,128.387,-7.2909
483,-107.973,107.973,-5.3456
484,-47.165,47.165,-17.3115
485,-415.776,415.776,5.145
486,91.694,-91.694,1.1655
487,107.9,-107.9,-12.1333
488,-143.402,143.402,-5.093
489,-185.382,185.382,-8.6762
490,-191.741,191.741,-7.3382
491,-109.181,109.181,-6.7727
492,-322.943,322.943,-21.5947
493,-512.153,512.153,5.203
494,-129.987,129.987,3.1406
495,28.707,-28.707,-9.6892
496,-182.701,182.701,-1.0872
497,-56.639,56.639,5.4572
498,-221.502,221.502,-4.7517
499,-240.767,240.767,-11.1331
