episode,return,critic_loss,actor_loss
127,-2882.143,14.148,-41.1998
128,-2783.318,15.5332,-41.6204
129,2.622,15.1924,-41.9026
130,-256.828,14.7041,-41.777
131,-684.027,14.8367,-41.6899
132,-5.317,14.1555,-41.6888
133,-10.914,14.233,-41.6636
134,-5.681,14.1945,-41.7536
135,-9.526,14.1072,-41.7374
136,-1330.719,14.4724,-41.8463
137,-4.347,14.1573,-41.7561
138,-4179.287,14.1788,-41.8143
139,-3.827,14.8138,-41.9876
140,-157.884,13.8819,-41.7811
141,-6.39,14.535,-41.7963
142,-78.921,14.6658,-42.0184
143,-4.781,14.3125,-42.249
144,-5.594,14.4866,-42.2091
145,-9.983,14.3226,-42.1645
146,-5.621,13.9605,-42.0799
147,-630.001,14.3096,-42.3151
148,-532.04,13.9775,-42.2304
149,-929.563,13.6704,-42.2024
150,-2632.864,14.1568,-42.4738
151,-807.849,14.8743,-42.7318
152,-377.764,15.0812,-42.6234
153,-329.166,14.7576,-42.6329
154,-1110.024,14.9139,-42.6244
155,-7.662,14.9112,-42.5879
156,-27.03,14.9559,-42.7703
157,-533.957,15.0376,-42.8511
158,-134.519,14.8206,-42.8736
159,-631.065,14.9572,-42.8019
160,-5431.133,15.8478,-42.7943
161,-4.153,16.6687,-42.5549
162,-5.678,15.5944,-42.4431
163,-4.144,16.0426,-42.317
164,-257.689,15.6078,-42.0509
165,-581.047,16.0926,-41.9516
166,-1182.921,16.7684,-41.7692
167,-383.652,16.9632,-41.9485
168,-125.693,16.7711,-41.8839
169,-4.475,15.5573,-41.6808
170,-456.644,15.0,-41.5811
171,-34.151,16.1386,-41.8698
172,-3.736,16.5386,-42.1036
173,-8.916,15.739,-41.8763
174,-5.458,15.7491,-41.6788
175,-1483.56,16.7169,-41.4682
176,-725.088,15.4761,-41.419
177,-1.478,15.7781,-41.2058
