episode,reward,eps,n_states
137,1878.527,0.5933,597
138,2023.6660000000015,0.5903,598
139,1932.8710000000012,0.5873,599
140,1957.8420000000003,0.5844,599
141,1731.085000000001,0.5814,599
142,1936.1420000000007,0.5784,601
143,1889.2440000000008,0.5755,602
144,2021.4030000000005,0.5725,603
145,1882.9330000000002,0.5695,603
146,1806.2750000000008,0.5666,605
147,1979.3880000000013,0.5636,606
148,1896.2140000000013,0.5606,607
149,1796.615000000001,0.5577,607
150,1909.544,0.5547,608
151,1826.0530000000015,0.5517,612
152,1836.263,0.5488,612
153,1992.313,0.5458,615
154,1923.3320000000003,0.5428,615
155,1939.9780000000012,0.5398,615
156,1853.9900000000002,0.5369,615
157,2064.727000000001,0.5339,616
158,1870.300000000001,0.5309,617
159,1945.2880000000007,0.528,618
160,2073.1780000000003,0.525,620
161,1941.062000000001,0.522,623
162,1857.429000000001,0.5191,624
163,1656.5279999999996,0.5161,624
164,1775.1240000000007,0.5131,624
165,1876.5940000000007,0.5102,624
166,1822.6609999999998,0.5072,625
167,1934.8210000000004,0.5042,626
168,1852.6240000000003,0.5012,626
169,1918.3020000000001,0.4983,626
170,1759.1010000000006,0.4953,626
171,1730.078,0.4923,628
172,2042.266000000001,0.4894,628
173,2031.5520000000001,0.4864,631
174,1761.5960000000002,0.4834,631
175,1984.4490000000014,0.4805,632
176,1891.1770000000008,0.4775,632
177,1882.7730000000006,0.4745,632
178,1773.1350000000002,0.4716,634
179,1894.9099999999999,0.4686,635
180,1778.928,0.4656,636
181,1989.6890000000005,0.4627,636
182,1884.5309999999997,0.4597,638
183,1698.6320000000005,0.4567,638
184,1747.115,0.4538,638
185,1817.9550000000008,0.4508,639
186,2060.154,0.4478,639
187,1962.9570000000015,0.4448,639
188,1745.1300000000006,0.4419,641
189,1838.1460000000006,0.4389,641
190,1776.4830000000004,0.4359,641
191,1959.406000000001,0.433,642
192,1934.445000000001,0.43,643
193,1974.0930000000017,0.427,643
194,1804.3240000000012,0.4241,643
195,1727.8770000000004,0.4211,643
196,1823.593,0.4181,644
197,1922.5199999999998,0.4152,645
198,1933.0810000000022,0.4122,645
199,1942.6730000000016,0.4092,645
200,1901.4970000000012,0.4062,645
201,1947.0349999999999,0.4033,646
202,1818.1350000000011,0.4003,646
203,1674.8110000000004,0.3973,646
204,1958.153,0.3944,649
205,1660.2040000000004,0.3914,649
206,1805.643,0.3884,650
207,2053.538000000001,0.3855,650
208,1835.0059999999996,0.3825,650
209,2020.492000000001,0.3795,650
210,1847.7630000000004,0.3766,650
211,1764.2520000000004,0.3736,651
212,2027.1510000000003,0.3706,653
213,2083.036,0.3677,653
214,1873.9510000000005,0.3647,654
215,1822.8659999999998,0.3617,656
216,1839.5800000000002,0.3588,657
217,1945.2370000000003,0.3558,657
218,1733.4860000000006,0.3528,658
219,1969.8390000000009,0.3498,658
220,1827.6200000000006,0.3469,659
221,1973.300000000002,0.3439,659
222,2035.8870000000006,0.3409,659
223,1896.5690000000013,0.338,659
224,1873.3090000000013,0.335,660
225,1708.726000000001,0.332,660
226,1825.9150000000006,0.3291,663
227,1840.4969999999994,0.3261,664
228,1982.3790000000013,0.3231,664
229,1968.3400000000013,0.3202,664
230,1769.6500000000005,0.3172,664
231,1941.6730000000005,0.3142,666
232,1956.9880000000003,0.3113,669
233,1869.8030000000003,0.3083,669
234,1777.9790000000003,0.3053,669
235,1946.727,0.3023,669
236,1619.042,0.2994,669
237,1849.8190000000009,0.2964,669
238,1854.6830000000014,0.2934,671
239,1874.076,0.2905,672
240,1923.1049999999993,0.2875,673
241,1845.4740000000006,0.2845,673
242,1917.6749999999997,0.2816,674
243,1838.3079999999998,0.2786,677
244,1759.5300000000013,0.2756,678
245,1679.5189999999996,0.2727,680
246,1760.4410000000005,0.2697,680
247,1779.2800000000009,0.2667,680
248,2125.218000000001,0.2638,680
249,1857.0840000000007,0.2608,680
250,2050.8150000000023,0.2578,680
251,2013.8970000000008,0.2548,680
252,1920.3949999999993,0.2519,680
253,1634.3080000000011,0.2489,680
254,1882.5580000000014,0.2459,680
255,1843.3650000000002,0.243,682
256,1984.4760000000006,0.24,683
257,1671.7049999999997,0.237,683
258,1685.9030000000005,0.2341,683
259,1931.0410000000006,0.2311,683
260,1831.593,0.2281,684
261,2012.5039999999997,0.2252,685
262,1701.0490000000004,0.2222,685
263,2002.2990000000011,0.2192,685
264,1866.3899999999999,0.2163,686
265,1889.2609999999995,0.2133,686
266,1882.9300000000007,0.2103,686
267,1708.0370000000007,0.2073,687
268,1840.6920000000014,0.2044,688
269,1782.242000000001,0.2014,688
270,1894.616,0.1984,690
271,1926.5900000000006,0.1955,691
272,1841.0840000000003,0.1925,693
273,1927.1940000000009,0.1895,693
274,2000.9910000000004,0.1866,693
275,1915.7279999999994,0.1836,693
276,1889.4929999999995,0.1806,694
277,1934.3220000000015,0.1777,694
278,1992.4230000000007,0.1747,694
279,1837.3439999999998,0.1717,695
280,1939.8720000000005,0.1688,695
281,2029.0340000000017,0.1658,695
282,1883.7050000000006,0.1628,695
283,1815.5410000000006,0.1598,695
284,1907.6870000000017,0.1569,695
285,1918.1440000000005,0.1539,696
286,1890.3070000000012,0.1509,698
287,1910.8280000000002,0.148,698
288,1811.6090000000006,0.145,698
289,1814.4059999999988,0.142,698
290,2011.5320000000004,0.1391,699
291,1761.2290000000005,0.1361,699
292,1873.2510000000007,0.1331,699
293,1837.058000000001,0.1302,700
294,1636.4170000000004,0.1272,700
295,1988.3540000000005,0.1242,700
296,1831.7149999999995,0.1212,700
297,1958.7170000000015,0.1183,701
298,1879.5280000000012,0.1153,703
299,1869.8960000000015,0.1123,704
