step,episode,ep_return,epsilon
25901,339,-521.4230,0.9180
25977,340,-10.0480,0.9177
26057,341,-737.3950,0.9175
26149,342,-120.9760,0.9172
26217,343,-487.9290,0.9170
26263,344,-256.2490,0.9168
26354,345,-340.2510,0.9165
26425,346,-62.2640,0.9163
26508,347,-300.9190,0.9161
26568,348,-305.9600,0.9159
26617,349,-441.9250,0.9157
26681,350,-18.2310,0.9155
26768,351,-205.7370,0.9152
26850,352,-39.0600,0.9150
26936,353,-300.5590,0.9147
27019,354,-64.4580,0.9144
27096,355,-26.2370,0.9142
27203,356,-195.7940,0.9139
27259,357,-140.0290,0.9137
27366,358,95.3430,0.9133
27437,359,-420.4800,0.9131
27512,360,-111.8170,0.9129
27572,361,-88.0950,0.9127
27649,362,-173.4570,0.9124
27724,363,106.9680,0.9122
27793,364,-12.4290,0.9120
27871,365,-33.9000,0.9117
27924,366,-105.4010,0.9116
27992,367,-69.2670,0.9114
28071,368,-100.1820,0.9111
28169,369,148.7850,0.9108
28250,370,-598.7490,0.9105
28306,371,-304.8970,0.9104
28373,372,-31.8820,0.9102
28453,373,-275.3130,0.9099
28515,374,-67.3810,0.9097
28579,375,-162.3830,0.9095
28639,376,-320.4100,0.9093
28714,377,-247.4330,0.9091
28772,378,-137.3520,0.9089
28822,379,-210.5580,0.9087
28891,380,-210.4500,0.9085
28952,381,-80.3260,0.9083
29030,382,-468.2540,0.9081
29105,383,-98.2840,0.9078
29175,384,-202.1120,0.9076
29242,385,-209.4540,0.9074
29295,386,-244.4990,0.9072
29370,387,1.3220,0.9070
29431,388,-140.3100,0.9068
29502,389,5.5800,0.9066
29541,390,-78.0380,0.9065
29612,391,-184.5510,0.9062
29657,392,-259.1490,0.9061
29736,393,-82.6950,0.9058
29810,394,-49.9960,0.9056
29881,395,-373.7680,0.9054
29950,396,-183.7850,0.9052
30033,397,-276.5030,0.9049
30088,398,-160.4920,0.9047
30152,399,-69.8700,0.9045
30240,400,-457.2910,0.9042
30289,401,-524.3560,0.9041
30385,402,-78.6730,0.9038
30465,403,-203.6230,0.9035
30551,404,-429.9450,0.9033
30612,405,-141.0240,0.9031
30691,406,-127.3060,0.9028
30744,407,-142.5080,0.9026
30822,408,47.2170,0.9024
30863,409,-502.7450,0.9023
30948,410,-392.7730,0.9020
31045,411,-257.9180,0.9017
31097,412,-450.3570,0.9015
31170,413,-307.2280,0.9013
31233,414,4.7790,0.9011
31295,415,-252.8090,0.9009
31355,416,-848.5030,0.9007
31413,417,-240.5110,0.9005
31501,418,-469.0940,0.9002
31550,419,-211.6150,0.9001
31624,420,-158.7290,0.8999
31698,421,-338.4860,0.8996
31786,422,36.3120,0.8993
31857,423,-313.8550,0.8991
31931,424,-73.0230,0.8989
31991,425,-295.9440,0.8987
32063,426,-246.7930,0.8985
32126,427,-357.4520,0.8983
32194,428,-62.4340,0.8981
32269,429,-4.2840,0.8978
32345,430,-156.0780,0.8976
32402,431,-295.3860,0.8974
32460,432,-182.2270,0.8972
32520,433,-412.5560,0.8970
32592,434,-168.2520,0.8968
32652,435,-109.9040,0.8966
32722,436,-389.6100,0.8964
32770,437,-173.6140,0.8962
32862,438,97.5130,0.8959
32947,439,-161.3590,0.8957
33049,440,92.3850,0.8953
33120,441,-125.9000,0.8951
33180,442,-998.0920,0.8949
33246,443,-496.1570,0.8947
33301,444,-138.4700,0.8945
33361,445,-7.1900,0.8944
33422,446,-300.3640,0.8942
33492,447,-102.2270,0.8939
33556,448,-243.6070,0.8937
33653,449,-151.1720,0.8934
33725,450,-314.7050,0.8932
33781,451,-402.2880,0.8930
33857,452,-95.3630,0.8928
33925,453,-509.0190,0.8926
34003,454,-127.1240,0.8923
34116,455,-171.4600,0.8920
34211,456,-703.3630,0.8917
34298,457,-104.3100,0.8914
34363,458,-455.1580,0.8912
34437,459,-570.3850,0.8910
34498,460,-122.3570,0.8908
34566,461,-403.4370,0.8905
34630,462,-733.8730,0.8903
34720,463,-53.6870,0.8901
34783,464,-342.0640,0.8899
34862,465,-384.5620,0.8896
34943,466,-538.9730,0.8894
35011,467,-426.0000,0.8891
35135,468,-21.1230,0.8887
35194,469,-136.0780,0.8886
35263,470,-653.3110,0.8883
35304,471,-218.4380,0.8882
35387,472,-302.0370,0.8879
35470,473,-583.1910,0.8877
35529,474,-161.3860,0.8875
35583,475,-112.8050,0.8873
35656,476,-127.9800,0.8871
35716,477,-220.8990,0.8869
35793,478,-35.7650,0.8867
35892,479,93.4900,0.8863
35973,480,-269.4880,0.8861
36100,481,-130.5010,0.8857
36164,482,-484.5740,0.8855
36218,483,-246.6630,0.8853
36279,484,-201.8920,0.8851
36370,485,-524.1180,0.8848
