step,episode,ep_return,epsilon
22810,295,-485.5500,0.9278
22877,296,-197.1750,0.9276
22955,297,191.1530,0.9273
23012,298,-71.3160,0.9271
23094,299,-235.2540,0.9269
23177,300,-60.7330,0.9266
23238,301,-329.7180,0.9264
23303,302,-354.1580,0.9262
23355,303,-321.3590,0.9260
23429,304,-98.5540,0.9258
23556,305,249.4970,0.9254
23644,306,-391.3690,0.9251
23733,307,-140.9110,0.9248
23814,308,-102.4900,0.9246
23898,309,-46.2460,0.9243
23965,310,-157.9890,0.9241
24058,311,62.2260,0.9238
24129,312,-91.8040,0.9236
24201,313,-150.4130,0.9234
24261,314,-286.5630,0.9232
24304,315,-265.2270,0.9230
24388,316,71.1520,0.9228
24476,317,-578.4750,0.9225
24525,318,-64.3170,0.9223
24597,319,-11.0850,0.9221
24677,320,-35.1990,0.9219
24756,321,-354.2560,0.9216
24823,322,-341.2490,0.9214
24899,323,-72.4450,0.9212
24956,324,-317.0510,0.9210
25022,325,-487.1390,0.9208
25096,326,-245.9790,0.9205
25214,327,-1.0970,0.9202
25289,328,-662.4530,0.9199
25346,329,-132.5780,0.9197
25422,330,-452.1360,0.9195
25479,331,-180.4730,0.9193
25546,332,-169.2170,0.9191
25604,333,-369.8330,0.9189
25670,334,-196.7160,0.9187
25773,335,-287.8960,0.9184
25829,336,-548.4820,0.9182
25909,337,-83.6930,0.9180
25971,338,-312.3790,0.9178
26094,339,347.6100,0.9174
26155,340,-686.2940,0.9172
26208,341,-485.0950,0.9170
26271,342,-336.9120,0.9168
26325,343,-265.5130,0.9166
26414,344,-18.2780,0.9164
26493,345,-297.9810,0.9161
26580,346,-19.5770,0.9158
26666,347,-332.1020,0.9156
26739,348,-464.4420,0.9153
26807,349,-338.1190,0.9151
26910,350,218.9850,0.9148
26989,351,61.2770,0.9145
27074,352,-77.0740,0.9143
27144,353,-402.9360,0.9140
27225,354,118.2370,0.9138
27296,355,-432.5040,0.9136
27374,356,-530.6550,0.9133
27450,357,-182.2290,0.9131
27544,358,-472.0210,0.9128
27610,359,-342.8190,0.9126
27671,360,-273.8430,0.9124
27742,361,-54.1150,0.9122
27813,362,-203.9700,0.9119
27897,363,22.4190,0.9117
27982,364,39.4190,0.9114
28039,365,-177.8660,0.9112
28108,366,-6.9350,0.9110
28168,367,-547.5680,0.9108
28235,368,16.2430,0.9106
28309,369,18.6230,0.9104
28360,370,-179.8720,0.9102
28411,371,-475.8550,0.9100
28482,372,-71.2960,0.9098
28578,373,48.7210,0.9095
28662,374,-311.4320,0.9092
28727,375,-66.1030,0.9090
28795,376,-152.2510,0.9088
28858,377,-222.6480,0.9086
28940,378,-146.1670,0.9084
29001,379,-124.3520,0.9082
29067,380,-359.1290,0.9080
29141,381,107.0870,0.9077
29196,382,-540.8840,0.9075
29250,383,-44.5060,0.9074
29322,384,-324.6730,0.9072
29388,385,-626.4800,0.9069
29461,386,-159.2560,0.9067
29524,387,-81.8220,0.9065
29605,388,-102.5860,0.9063
29665,389,-406.0680,0.9061
29751,390,-447.3820,0.9058
29821,391,-687.8330,0.9056
29905,392,-19.8510,0.9053
30008,393,-281.9530,0.9050
30103,394,-598.5910,0.9047
30167,395,-445.3650,0.9045
30235,396,-11.4790,0.9043
30301,397,-669.8730,0.9041
30365,398,-124.2410,0.9038
30434,399,-201.6820,0.9036
30512,400,-25.0990,0.9034
30571,401,-401.6610,0.9032
30643,402,-122.1810,0.9030
30708,403,-130.0950,0.9028
30757,404,-743.0980,0.9026
30820,405,-273.9930,0.9024
30908,406,-681.4130,0.9021
31012,407,-170.3000,0.9018
31086,408,-388.9210,0.9016
31159,409,-154.2320,0.9013
31220,410,-169.9930,0.9011
31296,411,-102.5880,0.9009
31386,412,-393.7350,0.9006
31479,413,-98.8250,0.9003
31529,414,-214.2690,0.9002
31588,415,-332.5110,0.9000
31638,416,-240.8160,0.8998
31705,417,-475.6850,0.8996
31774,418,-191.9640,0.8994
31823,419,-99.5920,0.8992
31910,420,-89.4180,0.8990
31961,421,-228.5330,0.8988
32026,422,-11.9970,0.8986
32100,423,-338.9200,0.8984
32147,424,-139.1330,0.8982
32219,425,-40.0560,0.8980
32305,426,29.3890,0.8977
32388,427,-369.8230,0.8974
32484,428,-48.6510,0.8971
32558,429,-111.9150,0.8969
32616,430,-501.3540,0.8967
32705,431,-49.4060,0.8964
32764,432,-240.6980,0.8963
32825,433,-252.4570,0.8961
32876,434,-113.7600,0.8959
32935,435,-371.1090,0.8957
33002,436,-122.5050,0.8955
33071,437,-273.4340,0.8953
33131,438,-242.1350,0.8951
33191,439,-111.4510,0.8949
33247,440,-445.3420,0.8947
33334,441,-168.8850,0.8944
33407,442,-163.4750,0.8942
33471,443,-566.6690,0.8940
33540,444,-12.7090,0.8938
33591,445,-78.5290,0.8936
33669,446,-138.2900,0.8934
33743,447,-209.2680,0.8932
33817,448,-71.7840,0.8929
33861,449,-108.0830,0.8928
33933,450,-1018.1220,0.8925
33987,451,-235.7550,0.8924
34059,452,-33.2670,0.8921
34140,453,-498.8860,0.8919
34217,454,-127.6810,0.8916
34299,455,-132.8570,0.8914
34365,456,-100.6680,0.8912
34440,457,-698.8220,0.8909
34499,458,-262.7680,0.8908
34573,459,-144.5800,0.8905
34658,460,-409.1860,0.8903
34774,461,175.7730,0.8899
34848,462,-209.8400,0.8897
34912,463,-237.1390,0.8894
34989,464,-267.4930,0.8892
35053,465,-165.9210,0.8890
35137,466,-549.1670,0.8887
35203,467,-3.4980,0.8885
35300,468,52.4910,0.8882
35378,469,-286.1820,0.8880
35463,470,-45.6780,0.8877
35523,471,-70.7240,0.8875
35588,472,-362.1030,0.8873
35656,473,2.7840,0.8871
35724,474,-3.5850,0.8869
35783,475,-510.8330,0.8867
35872,476,-60.2150,0.8864
35941,477,-152.4740,0.8862
36023,478,-401.3040,0.8859
36099,479,-1262.4390,0.8857
36183,480,-661.1340,0.8854
36267,481,-184.7820,0.8852
36370,482,132.8410,0.8848
36435,483,-409.4720,0.8846
36501,484,-177.5690,0.8844
36620,485,-482.3960,0.8840
36687,486,3.3380,0.8838
36788,487,173.8450,0.8835
36855,488,-386.6390,0.8833
36915,489,-308.3360,0.8831
36972,490,-297.0940,0.8829
37038,491,42.8360,0.8827
37136,492,-155.5060,0.8824
37217,493,20.1490,0.8821
37268,494,-386.1770,0.8820
37335,495,-538.5910,0.8818
37412,496,-94.4750,0.8815
37486,497,-594.8200,0.8813
37536,498,-78.9060,0.8811
37614,499,20.7110,0.8809
37698,500,-241.6920,0.8806
37767,501,-557.3380,0.8804
37832,502,-176.5480,0.8802
37914,503,-392.8700,0.8799
37989,504,-14.0180,0.8797
38071,505,-49.1250,0.8794
38175,506,-26.8400,0.8791
38227,507,-98.7950,0.8790
38296,508,-371.5120,0.8787
38372,509,8.8320,0.8785
38466,510,-228.2290,0.8782
38525,511,-123.3820,0.8780
38573,512,-174.6830,0.8779
38636,513,-125.2750,0.8777
38708,514,-110.2450,0.8774
38767,515,-336.3590,0.8772
38852,516,-161.6810,0.8770
38923,517,-111.1090,0.8767
38970,518,-272.5200,0.8766
39028,519,-385.5970,0.8764
39083,520,-392.3340,0.8762
39141,521,-241.5960,0.8761
39212,522,-514.5490,0.8758
39312,523,-456.6440,0.8755
39394,524,-146.3780,0.8753
39474,525,-157.1110,0.8750
39569,526,25.3570,0.8747
39635,527,-122.1700,0.8745
39703,528,-181.0650,0.8743
39769,529,-143.6150,0.8741
39822,530,-668.7360,0.8739
39880,531,-564.9130,0.8737
39931,532,-219.4990,0.8736
40003,533,-110.3560,0.8733
40070,534,-469.1160,0.8731
40135,535,-227.0620,0.8729
40213,536,-246.8720,0.8727
40270,537,-360.9780,0.8725
40333,538,-393.1840,0.8723
40385,539,-85.7550,0.8721
40455,540,99.5760,0.8719
40501,541,-273.6680,0.8718
40550,542,-175.4740,0.8716
40632,543,3.1450,0.8713
40684,544,-155.6260,0.8712
40746,545,-486.3550,0.8710
40820,546,23.9520,0.8707
40895,547,46.9650,0.8705
40966,548,-159.9330,0.8703
41053,549,-354.1110,0.8700
41147,550,-764.4100,0.8697
41210,551,2.6440,0.8695
41290,552,-324.4340,0.8693
41344,553,-100.7140,0.8691
41397,554,-78.4390,0.8689
41458,555,-76.2280,0.8687
41538,556,114.2480,0.8685
41626,557,-351.5290,0.8682
41694,558,6.7310,0.8680
41754,559,-786.0220,0.8678
41828,560,-285.9500,0.8675
41885,561,-181.2030,0.8674
41970,562,61.3490,0.8671
42021,563,-256.5140,0.8669
42135,564,-212.8160,0.8666
42231,565,-1050.6940,0.8663
42296,566,-315.6380,0.8661
42353,567,-166.6130,0.8659
42423,568,-79.9170,0.8657
42504,569,-278.7400,0.8654
42590,570,-780.5150,0.8651
42667,571,146.3300,0.8649
42740,572,-294.4330,0.8647
42784,573,-145.9040,0.8645
42863,574,-186.6790,0.8643
42966,575,112.9280,0.8639
43044,576,-264.2110,0.8637
43105,577,-139.4140,0.8635
43192,578,-666.9090,0.8632
43274,579,-423.0990,0.8630
43340,580,-376.0010,0.8628
43418,581,-227.3010,0.8625
43504,582,-48.6560,0.8622
43569,583,-700.0420,0.8620
43651,584,-18.8170,0.8618
43722,585,-663.4320,0.8616
43785,586,-116.7590,0.8614
43869,587,114.3880,0.8611
43931,588,-264.8860,0.8609
43998,589,-55.6130,0.8607
44094,590,-359.0100,0.8604
44169,591,-402.4940,0.8601
44267,592,-235.8710,0.8598
44356,593,-232.9470,0.8595
44409,594,-420.9040,0.8594
44485,595,-506.1130,0.8591
44564,596,-503.9410,0.8589
44665,597,-293.7390,0.8586
44738,598,-301.0400,0.8583
44800,599,-481.8310,0.8581
44854,600,-177.5150,0.8580
44920,601,-10.7300,0.8578
45022,602,-282.7980,0.8574
45097,603,-83.3850,0.8572
45174,604,-25.5470,0.8570
45245,605,-236.9420,0.8567
45318,606,-61.6940,0.8565
45384,607,-307.7470,0.8563
45447,608,-274.6280,0.8561
45518,609,-426.5350,0.8559
45595,610,-603.3880,0.8556
45679,611,-329.3270,0.8554
45742,612,-154.8180,0.8552
45831,613,-32.9590,0.8549
45901,614,-177.5230,0.8547
45979,615,-835.3520,0.8544
46032,616,61.4820,0.8542
46086,617,-619.4700,0.8541
46155,618,-120.4850,0.8538
46215,619,-235.4160,0.8537
46287,620,-681.4070,0.8534
46364,621,10.9500,0.8532
46434,622,-711.0440,0.8530
46489,623,-366.2000,0.8528
46603,624,182.5810,0.8524
46656,625,-171.7010,0.8523
46724,626,-219.4700,0.8520
46798,627,-445.8660,0.8518
46861,628,-982.6490,0.8516
46928,629,-232.6500,0.8514
46994,630,-281.4490,0.8512
47061,631,-272.1390,0.8510
47120,632,-162.6240,0.8508
47209,633,-105.7870,0.8505
47284,634,-191.5660,0.8503
47376,635,-39.8630,0.8500
47435,636,-172.2220,0.8498
47496,637,-217.6360,0.8496
47561,638,-185.8970,0.8494
47639,639,128.0300,0.8491
47728,640,-56.9630,0.8489
47808,641,-321.6860,0.8486
47872,642,-162.6240,0.8484
47920,643,-119.4300,0.8483
47983,644,-789.6100,0.8481
48071,645,-555.8600,0.8478
48165,646,-294.4860,0.8475
48246,647,-387.0070,0.8472
48305,648,-258.9560,0.8470
48365,649,-491.4630,0.8468
48426,650,-440.5020,0.8467
48508,651,-469.3400,0.8464
48600,652,-334.6470,0.8461
48667,653,-474.2090,0.8459
48729,654,-350.5790,0.8457
48787,655,-678.1780,0.8455
48853,656,-279.6160,0.8453
48924,657,-161.6380,0.8451
49005,658,-13.3370,0.8448
49080,659,-343.8910,0.8446
49138,660,-130.8660,0.8444
49192,661,-170.9300,0.8442
49285,662,-513.3550,0.8439
49374,663,-179.1960,0.8437
49440,664,-229.9880,0.8434
49509,665,38.6410,0.8432
49575,666,-401.9530,0.8430
49646,667,-191.1930,0.8428
49718,668,-630.6640,0.8426
49770,669,-391.8240,0.8424
49847,670,65.6630,0.8422
49895,671,-78.6320,0.8420
49954,672,-218.7990,0.8418
50027,673,-309.4640,0.8416
50099,674,-216.5320,0.8414
50165,675,-217.8710,0.8411
50230,676,-317.0420,0.8409
50320,677,-56.3110,0.8407
50389,678,-207.5880,0.8404
50442,679,-190.5410,0.8403
50521,680,-338.5370,0.8400
50597,681,-534.2710,0.8398
50688,682,12.7950,0.8395
50744,683,-178.8370,0.8393
50806,684,-295.6710,0.8391
50892,685,63.4730,0.8388
50953,686,-11.4820,0.8387
51028,687,-378.3620,0.8384
51094,688,-420.7240,0.8382
51142,689,-48.4750,0.8381
51238,690,94.1430,0.8377
51324,691,-104.2950,0.8375
51434,692,-186.9560,0.8371
51500,693,-185.8160,0.8369
51569,694,-326.1680,0.8367
51634,695,-518.1330,0.8365
51683,696,-129.4980,0.8363
51767,697,-729.6500,0.8361
51813,698,-144.6800,0.8359
51863,699,-390.4550,0.8358
51940,700,46.1040,0.8355
52014,701,29.9240,0.8353
52083,702,-90.5450,0.8351
52185,703,-156.5670,0.8348
52298,704,-115.5920,0.8344
52381,705,-169.1890,0.8341
52479,706,-299.7360,0.8338
52573,707,159.3490,0.8335
52657,708,-243.9650,0.8333
52717,709,-9.7070,0.8331
52807,710,-319.4870,0.8328
52874,711,-372.7480,0.8326
52967,712,-246.8890,0.8323
53030,713,-131.5140,0.8321
53104,714,-97.3920,0.8318
53178,715,-146.0410,0.8316
53259,716,-193.6050,0.8313
53324,717,-238.8020,0.8311
53383,718,-317.2040,0.8310
53457,719,-226.8810,0.8307
53527,720,-286.6000,0.8305
53596,721,-641.9950,0.8303
53691,722,13.1340,0.8300
53763,723,-268.7940,0.8298
53843,724,-643.6020,0.8295
53894,725,-475.3850,0.8293
53980,726,-146.0910,0.8291
54082,727,153.7600,0.8287
54148,728,-457.5730,0.8285
54240,729,-306.6630,0.8282
54326,730,-355.9660,0.8280
54391,731,-211.9460,0.8278
54457,732,-123.4670,0.8276
54522,733,-46.0340,0.8274
54584,734,-41.1730,0.8272
54673,735,-160.6220,0.8269
54759,736,-214.7130,0.8266
54834,737,-217.0330,0.8264
54900,738,-1067.4890,0.8262
54971,739,-87.6140,0.8259
55036,740,-419.5390,0.8257
55125,741,-281.7420,0.8254
55189,742,-394.5440,0.8252
55253,743,-1334.0000,0.8250
55338,744,-168.3790,0.8248
55406,745,-281.7140,0.8246
55486,746,-310.5840,0.8243
55608,747,-223.0140,0.8239
55695,748,-532.0690,0.8236
55770,749,-529.0190,0.8234
55853,750,-312.1350,0.8231
55958,751,-91.3450,0.8228
56025,752,-307.5490,0.8226
56134,753,-233.9810,0.8222
56199,754,-405.4440,0.8220
56292,755,-171.3960,0.8217
56352,756,-364.9810,0.8216
56467,757,-101.5880,0.8212
56542,758,-729.0690,0.8210
56625,759,-432.6090,0.8207
56713,760,-377.8510,0.8204
56796,761,-509.6210,0.8201
56886,762,-686.2150,0.8199
56972,763,-10.9510,0.8196
57044,764,-329.3200,0.8194
57134,765,-90.8160,0.8191
57227,766,-586.8670,0.8188
57318,767,-94.4140,0.8185
57403,768,-141.3800,0.8182
57473,769,-457.3120,0.8180
57539,770,-301.1820,0.8178
57613,771,-257.2420,0.8176
57685,772,-198.7820,0.8173
57769,773,-258.2280,0.8171
57861,774,-408.6250,0.8168
57954,775,-289.3730,0.8165
58066,776,-82.2260,0.8161
58168,777,3.3040,0.8158
58298,778,21.6710,0.8154
58370,779,-355.2500,0.8152
58491,780,-232.1970,0.8148
58560,781,-370.2720,0.8146
58685,782,-355.2010,0.8142
58782,783,-325.4820,0.8139
58885,784,-204.3200,0.8135
58982,785,-363.7600,0.8132
59087,786,-218.4030,0.8129
59189,787,-380.6160,0.8126
59279,788,-334.9640,0.8123
59350,789,-768.7090,0.8121
59477,790,-535.4310,0.8117
59588,791,-72.7720,0.8113
59671,792,-177.9840,0.8110
59772,793,-863.7070,0.8107
59909,794,-219.7010,0.8103
60028,795,-19.2500,0.8099
60168,796,-7.1190,0.8095
60262,797,-236.9590,0.8092
60329,798,-750.6500,0.8090
60422,799,31.6180,0.8087
60593,800,342.6600,0.8081
60724,801,-8.3210,0.8077
60838,802,-686.8170,0.8073
60925,803,-359.9160,0.8071
61070,804,116.1520,0.8066
61137,805,-16.3310,0.8064
61233,806,-443.9910,0.8061
61336,807,-43.5180,0.8058
61428,808,-324.8490,0.8055
61507,809,-452.1940,0.8052
61576,810,-197.7020,0.8050
61671,811,-172.2710,0.8047
61753,812,-140.7400,0.8045
61850,813,-604.5260,0.8041
61927,814,-159.3600,0.8039
62023,815,-668.3780,0.8036
62147,816,-74.4780,0.8032
62262,817,-835.4920,0.8028
62317,818,-394.7540,0.8027
62418,819,-145.0490,0.8023
62520,820,-593.4650,0.8020
62644,821,-448.8460,0.8016
62792,822,-21.3160,0.8012
62877,823,-129.0630,0.8009
62974,824,-137.9380,0.8006
63117,825,34.6960,0.8001
63210,826,-804.1660,0.7998
63292,827,-422.1210,0.7996
63393,828,-399.2370,0.7993
63471,829,-494.0000,0.7990
63589,830,-266.0100,0.7986
63675,831,-313.0590,0.7984
63767,832,-485.0360,0.7981
63870,833,-562.6470,0.7977
63958,834,-352.1090,0.7975
64035,835,-389.0000,0.7972
64151,836,-785.4220,0.7969
