episode,return,shaped_return,loss
323,-745.601,4229.399,2642205.0
324,-1155.495,5404.505,4220922.0
325,-331.907,4143.093,2233970.5
326,-256.758,3783.242,1911074.125
327,-984.058,5465.942,3964209.75
328,74.371,5979.371,2988398.25
329,-498.894,6631.106,4382804.0
330,-725.395,5464.605,3812544.75
331,41.623,4166.623,2061788.0
332,-432.334,6212.666,3775069.25
333,-1329.492,5285.508,4590849.0
334,-721.991,5928.009,4253914.5
335,-1025.69,5884.31,4195073.5
336,-762.324,4657.676,3003076.5
337,-241.529,3123.471,1476844.75
338,-537.49,6337.51,4273869.0
339,-281.441,6163.559,3587601.0
340,-623.44,5071.56,2933846.5
341,-929.26,5030.74,3700443.5
342,-1064.26,4605.74,3712581.25
343,-177.565,5807.435,3140787.5
344,-531.046,5993.954,3886211.0
345,-811.335,5723.665,4226911.5
346,-1031.724,5483.276,4010239.75
347,-748.177,6296.823,3969549.75
348,-18.318,2946.682,1240905.0
349,-296.301,3078.699,1393078.375
350,-122.552,3722.448,1593943.5
351,-152.15,5972.85,3185584.5
352,-1015.964,5839.036,4019780.5
353,-968.731,5496.269,3625033.0
354,-245.767,6309.233,3880462.25
355,-872.809,5807.191,4425772.0
356,-615.321,5959.679,3580678.75
357,-699.515,5675.485,3421262.0
358,-586.654,3393.346,1817804.125
359,-686.711,5463.289,3640984.5
360,-281.359,3963.641,2105471.25
361,-35.572,3814.428,1786370.25
362,-1221.044,5573.956,4678903.0
363,-642.379,3977.621,2263694.0
364,-1331.194,5598.806,4710070.0
365,-641.863,6198.137,4089492.25
366,-989.058,6185.942,5023895.5
367,-1196.14,6103.86,4329022.5
368,-745.09,4264.91,2774151.75
369,-802.962,5097.038,3398558.5
370,-930.955,5539.045,3713531.5
371,-738.234,6111.766,3852188.25
372,-620.657,6574.343,4512895.5
373,-799.005,5655.995,3642289.75
374,-728.384,5631.616,3719304.0
375,-532.761,6227.239,3756388.75
376,-1018.467,5691.533,3815644.5
377,-809.339,5870.661,4424164.0
378,-231.984,5723.016,3125927.25
379,-941.98,5383.02,3854232.0
380,-609.148,6225.852,3720271.75
381,-589.75,3800.25,2326566.0
382,-51.387,4473.613,2328248.25
383,-794.263,5785.737,4202426.5
